Question,SelectedAnswer,CorrectAnswer,Correct
(Easy) Which method finds the first index of a character?,search(),indexOf(),False
(Easy) Which method reads an integer using Scanner?,readInt(),nextInt(),False
(Easy) Operators - Which operator checks if two values are equal?,==,==,True
(Easy) Which object represents standard input?,System.out,System.in,False
(Easy) Which symbol is used to end a statement in Java?,;,;,True
(Easy) Which of the following is not a numeric data type?,float,boolean,False
(Easy) Which method checks if a string is empty?,blank(),isEmpty(),False
(Medium) Which method divides a string into an array of substrings?,break(),split(),False
(Medium) Which method replaces all matches of a regular expression?,replaceFirst(),replaceAll(),False
(Medium) Scanner input errors occur at:,Design time,Runtime,False
(Medium) Which requires suffix 'L'?,long literal,long literal,True
(Medium) Which of the following is not a primitive data type?,float,String,False
(Medium) What is printed? System.out.printf("%d"  10/2);,5,5,True
(Medium) What is the result of int x = 5; int y = 2; int z = x / y;?,2.5,2,False
(Hard) class Test3 { public static void main(String[] args) { double x = 10 / 4; System.out.print(x); } },2.5,2.0,False
(Hard) What happens? String s; System.out.println(s.length());,Error,Compilation Error (Variable not initialized),False
(Hard) What happens? "Java".charAt(4);,Returns 'a',StringIndexOutOfBoundsException,False
(Hard) What will be the output of the following code? System.out.println(10+20+"Java"+30+40);,1020Java3040,30Java3040,False
(Hard) What will be the output of the following code? int a = 1; a += 4.5; System.out.println(a);,4,5,False
(Hard) Which keyword is used to create a new object in Java?,make,new,False

Total Score,'4/20'
